,seqOrSplice,spliceRule,spliceTaxa
Abutilon_theophrasti,seq,,
Acalypha_deamii,** SPLICE **,genus,
Acalypha_ostryifolia,** SPLICE **,genus,
Acalypha_rhomboidea,seq,,
Acalypha_virginica,** SPLICE **,genus,
Acer_negundo,seq,,
Acer_nigrum,** SPLICE **,genus,
Acer_platanoides,seq,,
Acer_rubrum,seq,,
Acer_saccharinum,seq,,
Acer_saccharum,seq,,
Achillea_millefolium,seq,,
Acorus_americanus,seq,,
Acorus_calamus,seq,,
Actaea_pachypoda,seq,,
Actaea_rubra,seq,,
Adiantum_pedatum,seq,,
Aegilops_cylindrica,seq,,
Aegopodium_podagraria,seq,,
Aesculus_glabra,seq,,
Agalinis_paupercula,seq,,
Agalinis_purpurea,seq,,
Agalinis_tenuifolia,seq,,
Agastache_nepetoides,seq,,
Agastache_scrophulariifolia,seq,,
Ageratina_altissima,** SPLICE **,genus,
Agrimonia_gryposepala,** SPLICE **,genus,
Agrimonia_parviflora,seq,,
Agrimonia_pubescens,** SPLICE **,genus,
Agrimonia_rostellata,** SPLICE **,genus,
Agrostemma_githago,seq,,
Agrostis_gigantea,seq,,
Agrostis_hyemalis,seq,,
Agrostis_perennans,** SPLICE **,genus,
Agrostis_scabra,seq,,
Agrostis_stolonifera,seq,,
Ailanthus_altissima,seq,,
Ajuga_reptans,seq,,
Alcea_rosea,seq,,
Alisma_subcordatum,seq,,
Alliaria_petiolata,seq,,
Allium_canadense,** SPLICE **,genus,
Allium_cernuum,seq,,
Allium_tricoccum,** SPLICE **,genus,
Allium_vineale,seq,,
Alnus_glutinosa,seq,,
Alopecurus_aequalis,seq,,
Alopecurus_carolinianus,** SPLICE **,genus,
Alopecurus_pratensis,seq,,
Amaranthus_albus,seq,,
Amaranthus_arenicola,** SPLICE **,genus,
Amaranthus_blitoides,seq,,
Amaranthus_hybridus,seq,,
Amaranthus_retroflexus,seq,,
Amaranthus_spinosus,seq,,
Amaranthus_tuberculatus,** SPLICE **,genus,
Ambrosia_artemisiifolia,seq,,
Ambrosia_trifida,seq,,
Amorpha_fruticosa,seq,,
Amphicarpaea_bracteata,seq,,
Andropogon_gerardii,seq,,
Andropogon_virginicus,** SPLICE **,genus,
Anemone_canadensis,seq,,
Anemone_virginiana,** SPLICE **,genus,
Angelica_atropurpurea,** SPLICE **,genus,
Antennaria_neglecta,** SPLICE **,genus,
Antennaria_parlinii,** SPLICE **,genus,
Antennaria_plantaginifolia,** SPLICE **,genus,
Anthemis_arvensis,seq,,
Anthemis_cotula,seq,,
Apios_americana,seq,,
Aplectrum_hyemale,seq,,
Apocynum_androsaemifolium,seq,,
Apocynum_cannabinum,seq,,
Aquilegia_canadensis,seq,,
Arabis_hirsuta,seq,,
Arabis_laevigata,** SPLICE **,genus,
Arabis_shortii,** SPLICE **,genus,
Aralia_hispida,seq,,
Aralia_racemosa,seq,,
Aralia_spinosa,seq,,
Arctium_minus,seq,,
Arenaria_serpyllifolia,seq,,
Arisaema_dracontium,seq,,
Arisaema_triphyllum,seq,,
Aristida_longespica,seq,,
Aristida_oligantha,seq,,
Aristolochia_serpentaria,seq,,
Aristolochia_tomentosa,seq,,
Armoracia_rusticana,seq,,
Arnoglossum_atriplicifolium,seq,,
Arnoglossum_plantagineum,seq,,
Arnoglossum_reniforme,** SPLICE **,genus,
Arrhenatherum_elatius,seq,,
Artemisia_annua,seq,,
Artemisia_biennis,seq,,
Artemisia_vulgaris,seq,,
Asarum_canadense,seq,,
Asclepias_exaltata,seq,,
Asclepias_hirtella,** SPLICE **,genus,
Asclepias_incarnata,seq,,
Asclepias_quadrifolia,** SPLICE **,genus,
Asclepias_sullivantii,** SPLICE **,genus,
Asclepias_syriaca,seq,,
Asclepias_tuberosa,seq,,
Asclepias_verticillata,** SPLICE **,genus,
Asimina_triloba,seq,,
Asparagus_officinalis,seq,,
Asplenium_platyneuron,seq,,
Asplenium_rhizophyllum,seq,,
Athyrium_filix-femina,** SPLICE **,genus,
Atriplex_patula,seq,,
Atriplex_prostrata,seq,,
Azolla_caroliniana,seq,,
Baptisia_alba,seq,,
Barbarea_verna,seq,,
Barbarea_vulgaris,seq,,
Bartonia_paniculata,** SPLICE **,genus,
Belamcanda_chinensis,** SPLICE **,mrca,Sisyrinchium_angustifolium|Iris_germanica
Berberis_thunbergii,seq,,
Betula_nigra,seq,,
Betula_papyrifera,seq,,
Bidens_aristosa,** SPLICE **,genus,
Bidens_bipinnata,** SPLICE **,genus,
Bidens_cernua,seq,,
Bidens_connata,** SPLICE **,genus,
Bidens_coronata,** SPLICE **,genus,
Bidens_frondosa,seq,,
Bidens_tripartita,seq,,
Bidens_vulgata,** SPLICE **,genus,
Blephilia_ciliata,seq,,
Blephilia_hirsuta,seq,,
Boehmeria_cylindrica,** SPLICE **,genus,
Boltonia_asteroides,seq,,
Botrychium_dissectum,** SPLICE **,genus,
Botrychium_virginianum,seq,,
Brachyelytrum_erectum,seq,,
Brassica_juncea,seq,,
Brassica_nigra,seq,,
Brassica_rapa,seq,,
Bromus_arvensis,seq,,
Bromus_inermis,seq,,
Bromus_kalmii,seq,,
Bromus_latiglumis,seq,,
Bromus_racemosus,** SPLICE **,genus,
Bromus_secalinus,seq,,
Bromus_tectorum,seq,,
Buglossoides_arvensis,seq,,
Calamagrostis_canadensis,seq,,
Calopogon_tuberosus,seq,,
Caltha_palustris,seq,,
Calystegia_hederacea,** SPLICE **,genus,
Calystegia_pellita,** SPLICE **,genus,
Calystegia_sepium,seq,,
Calystegia_silvatica,seq,,
Camassia_scilloides,** SPLICE **,genus,
Camelina_microcarpa,seq,,
Campanula_americana,** SPLICE **,genus,
Campanula_aparinoides,seq,,
Campsis_radicans,seq,,
Cannabis_sativa,seq,,
Capsella_bursa-pastoris,** SPLICE **,genus,
Cardamine_bulbosa,seq,,
Cardamine_concatenata,seq,,
Cardamine_douglassii,seq,,
Cardamine_hirsuta,seq,,
Cardamine_pensylvanica,seq,,
Cardaria_draba,** SPLICE **,mrca,Lepidium_campestre|Lepidium_densiflorum
Carduus_nutans,seq,,
Carex_albicans,** SPLICE **,mrca,Carex_communis|Carex_umbellata
Carex_albursina,seq,,
Carex_amphibola,seq,,
Carex_atherodes,** SPLICE **,sister,Carex_trichocarpa
Carex_atlantica,** SPLICE **,mrca,Carex_echinata|Carex_sterilis
Carex_bicknellii,seq,,
Carex_blanda,seq,,
Carex_brevior,seq,,
Carex_bromoides,seq,,
Carex_buxbaumii,seq,,
Carex_careyana,** SPLICE **,mrca,Carex_digitalis|Carex_grisea
Carex_cephalophora,seq,,
Carex_communis,seq,,
Carex_comosa,seq,,
Carex_conjuncta,seq,,
Carex_crinita,seq,,
Carex_cristatella,seq,,
Carex_davisii,** SPLICE **,sister,Carex_gracillima
Carex_digitalis,seq,,
Carex_echinata,seq,,
Carex_emoryi,** SPLICE **,sister,Carex_stricta
Carex_festucacea,seq,,
Carex_frankii,** SPLICE **,sister,Carex_squarrosa
Carex_gracilescens,** SPLICE **,mrca,Carex_albursina|Carex_laxiflora
Carex_gracillima,seq,,
Carex_granularis,seq,,
