,region,MC.Hist,MC.Now,Species,Family,Status,Growth.form,Life.form,Life.Span,Clonality,Spinescence,Leaf.Periodicity.1.evergreen.2.deciduous.3.semi.evergreen,Dispersal.mode,Pollination.System,FOREST,WOODLAND,SCRUBLAND,DWARF.SCRUB,NATURAL.GRASSLAND,SEMI.NATURAL.GRASSLAND,COASTAL.DUNES,H2O.FRESH,H2O.SALINE,DESERT,RIPARIAN,ANTHROPOGNEIC,AGRICULTURAL,X,spp,losers,winners,incomers,winnters
acerplatanoides,1,0,1,Acer platanoides,Sapindaceae,1,5,1,3,1,0,2,2,1,NA,1,,NA,NA,NA,,NA,NA,NA,NA,1,,2,acerplatanoides,0,0,1,0
acoruscalamus,1,0,1,Acorus calamus,Acoraceae,0,1,6,3,3,0,2,6,1,NA,NA,,NA,NA,NA,,1,NA,NA,1,NA,,2,acoruscalamus,0,0,1,0
actaeapachypoda,1,0,1,Actaea pachypoda,Ranunculaceae,0,1,4,3,3,0,2,3,1,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,actaeapachypoda,0,0,1,0
aegopodiumpodagraria,1,0,1,Aegopodium podagraria,Apiaceae,1,1,3,3,3,0,2,1,1,NA,1,,NA,NA,NA,,NA,NA,NA,NA,1,,2,aegopodiumpodagraria,0,0,1,0
ajugareptans,1,0,1,Ajuga reptans,Lamiaceae,1,1,3,3,2,0,2,4,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,ajugareptans,0,0,1,0
alcearosea,1,0,1,Alcea rosea,Malvaceae,1,1,3,3,1,0,2,1,1,NA,NA,,NA,NA,NA,1,NA,NA,NA,NA,NA,,1,alcearosea,0,0,1,0
alliariapetiolata,1,0,1,Alliaria petiolata,Brassicaceae,1,1,3,2,1,0,1,"1,2",1,NA,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,1,alliariapetiolata,0,0,1,0
alnusglutinosa,1,0,1,Alnus glutinosa,Betulaceae,1,5,1,3,1,0,2,2,0,NA,1,1,NA,NA,NA,,NA,NA,NA,NA,1,,3,alnusglutinosa,0,0,1,0
amorphafruticosa,1,0,1,Amorpha fruticosa,Fabaceae,0,4,1,3,1,0,2,1,1,NA,1,,NA,NA,NA,,NA,NA,NA,1,NA,,2,amorphafruticosa,0,0,1,0
amphicarpaeabracteata,1,0,1,Amphicarpaea bracteata,Fabaceae,0,8,5,"1,3",1,0,2,4,1,1,1,1,NA,NA,NA,,NA,NA,NA,NA,NA,,3,amphicarpaeabracteata,0,0,1,0
apiosamericana,1,0,1,Apios americana,Fabaceae,0,8,4,3,3,0,2,3,1,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,apiosamericana,0,0,1,0
aplectrumhyemale,1,0,1,Aplectrum hyemale,Orchidaceae,0,1,4,3,3,0,2,2,1,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,aplectrumhyemale,0,0,1,0
apocynumandrosaemifolium,1,0,1,Apocynum androsaemifolium,Apocynaceae,0,1,3,3,1,0,2,2,1,1,1,,NA,NA,1,,NA,NA,NA,NA,1,,4,apocynumandrosaemifolium,0,0,1,0
arabishirsuta,1,0,1,Arabis hirsuta,Brassicaceae,0,1,3,"1,2,3",1,0,2,2,1,NA,NA,,NA,1,NA,,NA,NA,NA,1,NA,,2,arabishirsuta,0,0,1,0
araliahispida,1,0,1,Aralia hispida,Araliaceae,0,4,1,3,3,1,2,3,1,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,araliahispida,0,0,1,0
artemisiavulgaris,1,0,1,Artemisia vulgaris,Asteraceae,1,1,3,3,3,0,2,1,0,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,1,1,2,artemisiavulgaris,0,0,1,0
asclepiastuberosa,1,0,1,Asclepias tuberosa,Apocynaceae,0,1,4,3,3,0,2,2,1,NA,1,,NA,NA,1,,NA,NA,NA,NA,NA,,2,asclepiastuberosa,0,0,1,0
barbareaverna,1,0,1,Barbarea verna,Brassicaceae,1,1,3,"2,3",1,0,2,1,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,barbareaverna,0,0,1,0
berberisthunbergii,1,0,1,Berberis thunbergii,Berberidaceae,1,4,1,3,1,1,2,3,1,NA,1,1,NA,NA,NA,,NA,NA,NA,NA,NA,,2,berberisthunbergii,0,0,1,0
