regionNow	mcHistory	mcNow	species	usda_code	family	nonnative	exclude	excludeReason	nameChangeDate
1	1	1	Abutilon theophrasti	ABTH	Malvaceae	1			
1	1	0	Acorus americanus	ACAM	Acoraceae	0			
1	0	1	Acorus calamus	ACCA4	Acoraceae	0			
1	0	1	Acalypha deamii	ACDE4	Euphorbiaceae	0			
1	1	1	Achillea millefolium	ACMI2	Asteraceae	1			
1	1	1	Acer negundo	ACNE2	Sapindaceae	0			
1	1	1	Acer nigrum	ACNI5	Sapindaceae	0			
1	0	0	Acalypha ostryifolia	ACOS	Euphorbiaceae	0			
1	0	1	Actaea pachypoda	ACPA	Ranunculaceae	0			
1	0	1	Acer platanoides	ACPL	Sapindaceae	1			
1	0	0	Acalypha rhomboidea	ACRH	Euphorbiaceae	0			
1	1	1	Acer rubrum	ACRU	Sapindaceae	0			
1	0	0	Actaea rubra	ACRU2	Ranunculaceae	0			
1	1	1	Acer saccharinum	ACSA2	Sapindaceae	0			
1	1	1	Acer saccharum	ACSA3	Sapindaceae	0			
1	1	1	Acalypha virginica	ACVI	Euphorbiaceae	0			
1	1	1	Adiantum pedatum	ADPE	Pteridaceae	0			
1	0	0	Aegilops cylindrica	AECY	Poaceae	1			
1	1	1	Aesculus glabra	AEGL	Sapindaceae	0			
1	0	1	Aegopodium podagraria	AEPO	Apiaceae	1			
1	1	1	Ageratina altissima	AGAL5	Asteraceae	0			
1	1	0	Agrostemma githago	AGGI	Caryophyllaceae	1			
1	1	1	Agrostis gigantea	AGGI2	Poaceae	1			
1	0	1	Agrimonia gryposepala	AGGR2	Rosaceae	0			
1	1	0	Agrostis hyemalis	AGHY	Poaceae	0			
1	1	1	Agastache nepetoides	AGNE2	Lamiaceae	0			
1	0	0	Agalinis paupercula	AGPA12	Orobanchaceae	0			
1	1	1	Agrimonia parviflora	AGPA6	Rosaceae	0			
1	1	0	Agrostis perennans	AGPE	Poaceae	0			
1	1	1	Agrimonia pubescens	AGPU	Rosaceae	0			
1	0	0	Agalinis purpurea	AGPU5	Orobanchaceae	0			
1	1	1	Agrimonia rostellata	AGRO3	Rosaceae	0			
1	1	0	Agastache scrophulariifolia	AGSC	Lamiaceae	0			
1	0	0	Agrostis scabra	AGSC5	Poaceae	0			
1	0	0	Agrostis stolonifera	AGST2	Poaceae	1			
1	1	0	Agalinis tenuifolia	AGTE3	Orobanchaceae	0			
1	1	1	Ailanthus altissima	AIAL	Simaroubaceae	1			
1	0	1	Ajuga reptans	AJRE	Lamiaceae	1			
1	1	0	Alopecurus aequalis	ALAE	Poaceae	0			
1	0	1	Allium canadense	ALCA3	Alliaceae	0			
1	1	0	Alopecurus carolinianus	ALCA4	Poaceae	0			
1	1	1	Allium cernuum	ALCE2	Alliaceae	0			
1	0	1	Alnus glutinosa	ALGL2	Betulaceae	1			
1	0	1	Alliaria petiolata	ALPE4	Brassicaceae	1			
1	1	1	Alopecurus pratensis	ALPR3	Poaceae	1			
1	0	1	Alcea rosea	ALRO3	Malvaceae	1			
1	1	1	Alisma subcordatum	ALSU	Alismataceae	0			
1	1	1	Allium tricoccum	ALTR3	Alliaceae	0			
1	1	1	Allium vineale	ALVI	Alliaceae	1			
1	0	0	Amaranthus albus	AMAL	Amaranthaceae	1			
1	0	1	Amaranthus arenicola	AMAR	Amaranthaceae	1			
1	1	1	Ambrosia artemisiifolia	AMAR2	Asteraceae	0			
1	1	0	Amaranthus blitoides	AMBL	Amaranthaceae	1			
1	0	1	Amphicarpaea bracteata	AMBR2	Fabaceae	0			
1	0	1	Amorpha fruticosa	AMFR	Fabaceae	0			
1	1	1	Amaranthus hybridus	AMHY	Amaranthaceae	1			
1	1	0	Amaranthus retroflexus	AMRE	Amaranthaceae	1			
1	1	0	Amaranthus spinosus	AMSP	Amaranthaceae	1			
1	1	1	Ambrosia trifida	AMTR	Asteraceae	0			
1	1	1	Amaranthus tuberculatus	AMTU	Amaranthaceae	0			
1	1	1	Anthemis arvensis	ANAR6	Asteraceae	1			
1	0	1	Angelica atropurpurea	ANAT	Apiaceae	0			
1	1	1	Anemone canadensis	ANCA8	Ranunculaceae	0			
1	1	0	Anthemis cotula	ANCO2	Asteraceae	1			
1	1	0	Andropogon gerardii	ANGE	Poaceae	0			
1	1	1	Antennaria neglecta	ANNE	Asteraceae	0			
1	0	0	Antennaria parlinii	ANPA9	Asteraceae	0			
1	1	0	Antennaria plantaginifolia	ANPL	Asteraceae	0			
1	1	0	Andropogon virginicus	ANVI2	Poaceae	1			
1	1	1	Anemone virginiana	ANVI3	Ranunculaceae	0			
1	0	1	Apios americana	APAM	Fabaceae	0			
1	0	1	Apocynum androsaemifolium	APAN2	Apocynaceae	0			
1	1	1	Apocynum cannabinum	APCA	Apocynaceae	0			
1	0	1	Aplectrum hyemale	APHY	Orchidaceae	0			
