region	MC Hist	MC Now	Species	Family	Status	Growth form	Life form	Life Span	Clonality 	Spinescence	Leaf Periodicity 1=evergreen 2=deciduous 3=semi-evergreen	Dispersal mode	Pollination System	FOREST	WOODLAND	SCRUBLAND	DWARF SCRUB	NATURAL GRASSLAND	SEMI-NATURAL GRASSLAND	COASTAL DUNES	H2O FRESH	H2O SALINE	DESERT	RIPARIAN	ANTHROPOGNEIC	AGRICULTURAL	
1	1	1	Abutilon theophrasti	Malvaceae	1	1	5	1	1	0	2	1	1						1						1		2
1	0	1	Acalypha deamii	Euphorbiaceae	0	1	5	1	1	0	2	1	1								1				1		2
1	0	0	Acalypha ostryifolia	Euphorbiaceae	0	1	5	1	1	0	2	1	0												1	1	2
1	0	0	Acalypha rhomboidea	Euphorbiaceae	0	1	5	1	1	0	2	1	0												1		1
1	1	1	Acalypha virginica	Euphorbiaceae	0	1	5	1	1	0	2	2	1		1				1						1		3
1	1	1	Acer negundo	Sapindaceae	0	5	1	3	1	0	2	2	1	1										1			2
1	1	1	Acer nigrum	Sapindaceae	0	5	1	3	1	0	2	2	1	1	1												2
1	0	1	Acer platanoides	Sapindaceae	1	5	1	3	1	0	2	2	1		1										1		2
1	1	1	Acer rubrum	Sapindaceae	0	5	1	3	1	0	2	2	1		1						1			1			3
1	1	1	Acer saccharinum	Sapindaceae	0	5	1	3	1	0	2	2	1											1			1
1	1	1	Acer saccharum	Sapindaceae	0	5	1	3	1	0	2	2	1	1	1												2
1	1	1	Achillea millefolium	Asteraceae	1	1	3	3	2	0	2	2	1		1				1						1		3
1	1	0	Acorus americanus	Acoraceae	0	1	6	3	3	0	2	2	0								1						1
1	0	1	Acorus calamus	Acoraceae	0	1	6	3	3	0	2	6	1								1			1			2
1	0	1	Actaea pachypoda	Ranunculaceae	0	1	4	3	3	0	2	3	1	1	1												2
1	0	0	Actaea rubra	Ranunculaceae	0	1	4	3	3	0	2	3	1	1	1												2
1	1	1	Adiantum pedatum	Pteridaceae	0	2	4	3	3	0	2	2	0	1	1									1			3
1	0	0	Aegilops cylindrica	Poaceae	1	3	5	1	1	0	2	3	0						1						1		2
1	0	1	Aegopodium podagraria	Apiaceae	1	1	3	3	3	0	2	1	1		1										1		2
1	1	1	Aesculus glabra	Sapindaceae	0	5	1	3	1	0	2	5	1											1			1
1	0	0	Agalinis paupercula	Orobanchaceae	0	1	5	1	1	0	2	1	1						1		1			1	1	1	5
1	0	0	Agalinis purpurea	Orobanchaceae	0	9	5	1	1	0	2	1	1			1					1			1			3
1	1	0	Agalinis tenuifolia	Orobanchaceae	0	9	5	1	1	0	2	1	1						1								1
1	1	1	Agastache nepetoides	Lamiaceae	0	1	3	3	1	0	2	1	1		1												1
1	1	0	Agastache scrophulariifolia	Lamiaceae	0	1	3	3	1	0	2	1	1		1												1
1	1	1	Ageratina altissima	Asteraceae	0	1	3	3	1	0	2	2	1		1	1											2
1	0	1	Agrimonia gryposepala	Rosaceae	0	1	3	3	2	0	2	4	1	1	1												2
1	1	1	Agrimonia parviflora	Rosaceae	0	1	3	3	2	0	2	4	1	1	1												2
1	1	1	Agrimonia pubescens	Rosaceae	0	1	3	3	1	0	2	4	1		1												1
1	1	1	Agrimonia rostellata	Rosaceae	0	1	3	3	2	0	2	4	1	1	1												2
1	1	0	Agrostemma githago	Caryophyllaceae	1	1	5	1	0	0	2	1	1												1	1	2
1	1	1	Agrostis gigantea	Poaceae	1	3	4	3	3	0	2	4	0						1		1	1			1		4
1	1	0	Agrostis hyemalis	Poaceae	0	3	3	3	1	0	2	1	0						1						1		2
1	1	0	Agrostis perennans	Poaceae	0	3	3	3	1	0	2	1	0								1						1
1	0	0	Agrostis scabra	Poaceae	0	3	3	3	1	0	2	1	0						1						1		2
1	0	0	Agrostis stolonifera	Poaceae	1	3	3	3	2	0	2	4	0						1					1	1		3
1	1	1	Ailanthus altissima	Simaroubaceae	1	5	1	3	1	0	2	2	1		1				1						1		3
1	0	1	Ajuga reptans	Lamiaceae	1	1	3	3	2	0	2	4	1						1						1		2
1	0	1	Alcea rosea	Malvaceae	1	1	3	3	1	0	2	1	1							1							1
1	1	1	Alisma subcordatum	Alismataceae	0	1	6	3	3	0	1	6	1								1						1
1	0	1	Alliaria petiolata	Brassicaceae	1	1	3	2	1	0	1	"1,2"	1		1												1
1	0	1	Allium canadense	Alliaceae	0	1	4	3	3	0	2	1	1		1				1								2
1	1	1	Allium cernuum	Alliaceae	0	1	4	3	3	0	2	1	1	1	1				1								3
1	1	1	Allium tricoccum	Alliaceae	0	1	4	3	3	0	2	1	1	1	1												2
1	1	1	Allium vineale	Alliaceae	1	1	4	3	3	0	1	1	1						1						1		2
1	0	1	Alnus glutinosa	Betulaceae	1	5	1	3	1	0	2	2	0		1	1									1		3
1	1	0	Alopecurus aequalis	Poaceae	0	3	5	3	1	0	2	4	0								1			1	1		3
1	1	0	Alopecurus carolinianus	Poaceae	0	3	3	1	1	0	2	4	0								1						1
1	1	1	Alopecurus pratensis	Poaceae	1	3	3	3	1	0	2	2	0						1						1		2
1	0	0	Amaranthus albus	Amaranthaceae	1	1	5	1	1	0	2	2	0						1						1		2
1	0	1	Amaranthus arenicola	Amaranthaceae	1	1	5	1	1	0	2	2	0						1								1
1	1	0	Amaranthus blitoides	Amaranthaceae	1	1	5	1	1	0	2	2	0						1						1		2
